,departures,durations,arrivals
0,05:00,1:11,06:11
1,05:15,1:04,06:19
2,05:41,0:58,06:40
3,05:45,0:58,06:43
4,06:00,0:58,06:58
5,06:15,0:58,07:13
6,06:30,0:58,07:28
7,06:45,0:58,07:43
8,07:00,0:58,07:58
9,07:15,0:58,08:13
10,07:30,0:58,08:28
11,07:45,0:58,08:43
12,08:00,0:58,08:58
13,08:15,0:58,09:13
14,08:30,0:58,09:28
15,08:45,0:58,09:43
16,09:00,0:58,09:58
17,09:15,0:58,10:13
18,09:30,0:58,10:28
19,09:45,0:58,10:43
20,10:00,0:58,10:58
21,10:15,0:58,11:13
22,10:30,0:58,11:28
23,10:45,0:58,11:43
24,11:00,0:58,11:58
25,11:15,0:58,12:13
26,11:30,0:58,12:28
27,11:45,0:58,12:43
28,12:00,0:58,12:58
29,12:15,0:58,13:13
30,12:30,0:58,13:28
31,12:45,0:58,13:43
32,13:00,0:58,13:58
33,13:15,0:58,14:13
34,13:30,0:58,14:28
35,13:45,0:58,14:43
36,14:00,0:58,14:58
37,14:15,0:58,15:13
38,14:30,0:58,15:28
39,14:45,0:58,15:43
40,15:00,0:58,15:58
41,15:15,0:58,16:13
42,15:30,0:58,16:28
43,15:45,0:58,16:43
44,16:00,0:58,16:58
45,16:15,0:58,17:13
46,16:30,0:58,17:28
47,16:45,0:58,17:43
48,17:00,0:58,17:58
49,17:15,0:58,18:13
50,17:30,0:58,18:28
51,17:45,0:58,18:43
52,18:00,0:58,18:58
53,18:15,0:58,19:13
54,18:30,0:58,19:28
55,18:45,0:58,19:43
56,19:00,0:58,19:58
57,19:15,0:58,20:13
58,19:30,0:58,20:28
59,19:45,0:58,20:43
60,20:00,0:58,20:58
61,20:15,1:03,21:18
62,20:30,1:03,21:33
63,20:45,1:03,21:48
64,21:00,1:03,22:03
65,21:15,1:03,22:18
66,21:30,1:03,22:33
67,21:45,1:03,22:48
68,22:00,1:03,23:03
